line01;line02;line03;line04
Tu ne sais dire que ça ? NUL;Innove un peu ! Je vais pas craquer xD;T'es pas le dompteur le plus original mdr;Toujours la même rengaine… Pas fou/n
T'as rien d'autres à dire ptdr;Tu me déçois, change un peu de disque.;Tu radotes. T'es plus vieux que t'en as l'air !;Tu m'as pas dit ça il y a genre… 5 min ?/n
Tu dragues les autres monstres comme ça ?;Pas doué l'aventurier…;Tu vas être sage maintenant :);Je te préfère sans cette phrase x)/n
Je suis pas du genre à me faire dompter.;On m'a toujours dit de me méfier des humains.;Attention, je suis du genre toxique ptdr;Personne ne m'a jamais dompté./n
Je ne suis pas un monstre facile.;T'as l'air pas bien solide.;T'es obligé d'utiliser des monstres pour écrire ?;J'ai bouffé des gens pour moins que ça./n
Écris bien steup;Ta dead sa chakal;T nul mais au - t drôle mdr;Ce que tu dis n'a aucun sens/n
T'essaye de m'impressionner là ?;Tes messages sont de vrais tue-l'amour;T'as la tronche d'un malware;T'es aussi lourd en vrai ?/n
Je vais finir par te signaler;Tu peux arrêter de parler de toi steup ?;Tu serais pas photoshopé ?;Même une fleur, tu peux pas la dompter mdr/n
Si tu m'y autorises, j'aimerais bien me présenter à toi :) Tout d'abord, sache que je ne suis qu'un humble dompteur, ne désirant que te dompter. Tu es typiquement le genre de monstre qui sait me plaire, et me toucher au plus profond de mon… armure. J'espère que notre conversation sera à la hauteur de ton style :);Il était une fois un dompteur charmant qui, par le plus heureux des hasards, swipa par mégarde à droite. Matchant avec une créature… particulièrement enviable, il décida de lui envoyer un premier message, long et raffiné, lui promettant de le dompter d'ici la fin de leur formidable conversation... Bien entendu, le dompteur n'irait pas de main morte, et n'hésiterait pas à se montrer physique si le monstre se montrerait résistant :) ~;Enchanté et toi, bientôt dompté… Ne te fais pas trop d'illusions, tu n'es qu'un monstre parmi d'autres, qui ne saurait me résister :) Je ne veux pas te sous-estimer mais je ne vais pas te mentir, ton physique est aussi terrifiant que le duvet d'une licorne ! Bref, ne m'en veut pas trop d'être taquin ahah;"Avant que nous entamions notre… intense conversation plus en détail, je souhaiterais te donner quelques infos qui pourraient t'être utiles :) J'aime beaucoup les créatures un peu ""têtues"", qui savent se montrer un peu taquines lorsque je montre mon côté dompteur... Donc n'hésite surtout pas à faire de ton mieux pour blesser mon ego <3 ~/n"
Tu sais, à me dire en permanence ce genre de choses autant de fois, je vais finir par croire que tu es un monstre incroyablement rare et capable de draguer plutôt correctement :) Malheureusement, on dirait bien qu'il me suffit d'écrire un message un tant soit peu long pour balayer tout ce que tu t'es donné du mal à écrire... dommage :p;Tu sais, on me demande souvent si dompteur est une bonne situation. Moi, je ne crois pas qu'il y ait de bonne ou de mauvaise situation. Moi, si je devais résumer ma vie aujourd'hui avec toi, je dirais que c'est d'abor des matchs. Des monstres qui m'on tendu les crocs, peut-être à un moment où je ne pouvais pas dompter, où j'étais seul chez moi.;Écoute, c'est vraiment pas évident de parler avec monstres, et encore moins de les dompter. Je ne veux pas que tu penses que je ne dénigre les êtres… comme toi mais disons que vous êtes pas les créatures les plus raffinées de la planète ahah ! Et si tu rajoutes à ça, le bruit et l'odeur, le dompteur de monstre à l'entrée du donjon, il devient fou ! Et ce n'est pas ne pas aimer les monstres que dire ça !;Tu n'aurais pas déjà été dompté auparavant ? Parce j'ai connu plus sauvage ahah. Ou peut-être que c'est mon talent et ma prestance qui te rendent toute chose ? :) Mmmmh… on dirait bien qu'au final, j'ai dégagé tous les messages que tu as pu écrire… Oups :p/n
C'est moi où depuis tout à l'heure, on dirait que t'essayes de m'impressionner en envoyant 36 messages à la minutes ? C'est marrant, tu penses être malin, mais regarde au final, j'ai juste à écrire un pavé pour cancel tout ce que t'as fait ptdr. Tkt, je t'en veux pas de vouloir m'impressionner :);"""Les paroles s'envolent, les écrits restent""… Bah du coup, on dirait bien que mon message transcende cette expression elle-même vu que TES écrits ne sont pas restés mdr! … Parfois, je m'impressionne moi-même x))";Rien à voir avec ce que tu viens de dire mais je n'arrête pas de me demander depuis tout à l'heure pourquoi tu ne fais qu'envoyer des messages courts. Est-ce que c'est parce que je ne t'intéresse pas ? Ou est-ce que c'est proportionnel à... la taille de ton... Non, ce n'est pas ça.... Non... Enfin... J'espère que ce n'est pas ça... Oo;J'ai un peu de mal à cerner tes kinks avec tout ce que tu me racontes. Au final, t'es plus éventrements, possession, jet d'acide, torture ou étranglement ? Parce que de ce que j'en vois, tu sembles surtout très bon à raconter pas mal de débilités de manière systématique, et je sais pas trop comment te classer ahah. Je t'ai blessé ? Tu n'as pas l'habitude de te battre ? :)/n
"Dompté moi ? Sérieusement ^^ hah on me l'avait pas sortie celle-là depuis looooongtemps :) demande à mes optes si je suis dompté, tu vas voir les réponses que tu vas te prendre XD rien que la semaine passée, j'ai dompté donc chuuuut ferme la dompté de merde car oui, tu m'as tout l'air d'un bon dompté car souvent, vous êtes frustrés de ne pas DOMPTER :)
Oups, on me dit que le taux d'emoji est trop important, désolé.";Sans rigoler. Je pratique le domptage depuis maintenant 6 ans, du combat à l'épée en parallèle depuis 7 ans. J'ai une vitesse de fou, et des réflexes identiques à ma vitesse. J'ai juste à attendre que tu m'écrives, t'esquiver et te donner des bonnes patates dans la tête. Je te lâcherai pas à la moindre erreur, t'es fini. T'auras toujours des amateurs pour penser que c'est impossible. Rien est impossible avec de la volonté et de deux, c'est pas avec ton corps de lâche que tu va faire quoi que ce soit. :);J'aime pas ta façon d'écrire. J'aime pas tes emojis. J'aime pas ton selfie. J'aime pas tes couleurs. J'aime pas ton humour. J'aime pas tes capacités. Et c'est pour ça que je t'envoie ça, pour les faire disparaître de mon écran :p;Tu sais, je te trouve vraiment incroyable, et même si tu me domptes au final, je serai ravi de te servir ahah. Ah oui, et si tu veux te servir de mes capacités, surtout n'hésite pas vraiment :) … Oups, mon chat a marché sur mon clavier ! En fait, je voulais juste faire disparaître tes messages :)/n
Tes messages sont représentatifs de l'impression que je me fais de toi : petits, vicieux et franchement bancals ! Commence déjà par donner du sens à ce que tu racontes et de comprendre ce que tu baves afin d'espérer pouvoir me dompter ! Des ignorants, j'en ai croisé pas mal, mais des obstinés comme toi, ça relève du grand art !;À lire tes messages, tu m'as l'air vachement frustré… À quoi est-ce que ça peut-être dû ? Pas d'amis, c'est ça ? Ou bien, le problème est plus profond… Confie-toi à moi, ça me fera plaisir :) Père cul-de-jatte ? Mère travaillant dans une taverne malfamée ? Animal de compagnie à écailles ? Je veux connaître tout ton passé, même les recoins les plus sombres de ton enfance :p;Une fois, j'ai fait un stage dans un donjon. Bah clairement, c'était pas évident (entre l'entretien des chaînes, la préparation des repas pour les mobs ou bien le balayage des sols des 15 étages), mais j'ai quand même pris plus de plaisir à faire ça pendant 2 mois qu'à lire tes messages depuis même pas une minute ! Alors soit t'es exceptionnellement mauvais, soit tu le fais exprès. Mais il y a anguille sous roche. Enfin, plutôt tentacule sous clavier.;Je pensais qu'en matchant avec toi et tes semblables sur Dungeon Matcher, j'allais avoir plus de chance que sur Rawrchat, mais on dirait bien que non ahah. J'avais entendu dire que la communauté ici était moins toxique que sur l'autre app, mais clairement, vu le venin que tu peux balancer dans tes messages, j'imagine que les utilisateurs doivent être les mêmes mdr. C'est con, parce que tu me plaisais bien au début de la conversation x)/n
