line name;message index;ability;line01;line02;line03;line04
M_2_dégâts;2;Dégâts;Je peux sentir tes muscles à travers mon écran <3;J'espère être le monstre qui te charmera…;Tu es terriblement héro(t)ique :p;Ce serait trop bien de se battre :0/n
M_2_défense;2;Défense;À d'autres.;T lourd;T fake toi;Merde mon tél bug/n
M_2_soinsDrain;2;Soins / Drain;Je ne suis pas un monstre facile.;T'as l'air pas bien solide.;T'es obligé d'utiliser des monstres pour écrire ?;J'ai bouffé des gens pour moins que ça./n
M_2_break;2;Break;Je te prête une main pour écrire ?;T là ?;T'es textuellement précoce, toi xD;J'ai fait exploser ton tél ? Mdr./n
M_2_drain;2;Drain;Tu t'es déjà fait vampiriser ? ;Mon baiser à un goût…. Fantastique :);Tu sembles plutôt tendre sous ton armure ~;Ow, je devrai faire ça plus souvent ~/n
M_2_paralysie;2;Paralysie;Jolie technique, mais tu vas t'en passer :p;Confisqué ! J'aime te punir :);Je vais te frustrer un peu pour la peine ~;Arrête avec ça, c'est vraiment pénible !/n
M_2_charme;2;Charme;Ton dernier message me suffit ahah;T'es bg mais tes messages ok;Lâche ton tél 5 minutes ;Relou avec tes messages, profite de… moi :3/n
M_2_toucherDivin;2;Toucher Divin;Tu sais, à me dire en permanence ce genre de choses autant de fois, je vais finir par croire que tu es un monstre incroyablement rare et capable de draguer plutôt correctement :) Malheureusement, on dirait bien qu'il me suffit d'écrire un message un tant soit peu long pour balayer tout ce que tu t'es donné du mal à écrire... dommage :p;Tu sais, on me demande souvent si dompteur est une bonne situation. Moi, je ne crois pas qu'il y ait de bonne ou de mauvaise situation. Moi, si je devais résumer ma vie aujourd'hui avec toi, je dirais que c'est d'abor des matchs. Des monstres qui m'on tendu les crocs, peut-être à un moment où je ne pouvais pas dompter, où j'étais seul chez moi.;Écoute, c'est vraiment pas évident de parler avec monstres, et encore moins de les dompter. Je ne veux pas que tu penses que je ne dénigre les êtres… comme toi mais disons que vous êtes pas les créatures les plus raffinées de la planète ahah ! Et si tu rajoutes à ça, le bruit et l'odeur, le dompteur de monstre à l'entrée du donjon, il devient fou ! Et ce n'est pas ne pas aimer les monstres que dire ça !;Tu n'aurais pas déjà été dompté auparavant ? Parce j'ai connu plus sauvage ahah. Ou peut-être que c'est mon talent et ma prestance qui te rendent toute chose ? :) Mmmmh… on dirait bien qu'au final, j'ai dégagé tous les messages que tu as pu écrire… Oups :p/n
M_2_windstorm;2;Coup de vent;Je te trouve bien arrogant pour un humain ahah;Tu vas te calmer oui ? x));Parle à ta main, on dirait qu'elle a changé.;Je te préfère avec ces capacités :')/n
M_2_atkCharge;2;ATK chargée;Je suis désolé d'avoir été si dur avec toi… C'est que… Je suis plutôt à prendre le dessus tu vois ~;"Je suis pas beauf mais tu sais ce qu'on dit : ""Dompteur qui rit, à moitié dans mon nid"" lol";Tu seras la choppe et moi la bière. À deux, on domptera l'univers tout entier <3;Tu connais mon rêve ? Bâtir un donjon entier rien que pour torturer… Toi… Et moi ~/n
M_3_dégâts;3;Dégâts;Tes biceps sont des joyaux, et toi une couronne;Juste : <3;Je veux te faire des massages eheh;Envoie une photo stp :3/n
M_3_défense;3;Défense;Mange tes morts;C'est son pote qui écrit en fait;T'es banal de fou;Je te répondrai plus tard/n
M_3_soinsDrain;3;Soins / Drain;Écris bien steup;Ta dead sa chakal;T nul mais au - t drôle mdr;Ce que tu dis n'a aucun sens/n
M_3_break;3;Break;Je suis sûr que tu parles à un autre…;Je t'ai fait peur ? ^^';R2POND STP;Tu t'es fait tué ? Ou bouffé ?/n
M_3_drain;3;Drain;Sucré ou salé ?.... Salé.;Si je t'embrasse, tu deviens une grenouille ?;Je ne suis pas un vampire mais….;Embrasse-moi, grand fou <3/n
M_3_paralysie;3;Paralysie;Tu ne sais dire que ça ? NUL;Innove un peu ! Je vais pas craquer xD;T'es pas le dompteur le plus original mdr;Toujours la même rengaine… Pas fou/n
M_3_charme;3;Charme;Tu veux encore parler ? À tes risques…;Dompte-moi sans écrire stp;Je te préfère en silence x);Je peux couper le son mais pas tes notifs :c/n
M_3_toucherDivin;3;Toucher Divin;C'est moi où depuis tout à l'heure, on dirait que t'essayes de m'impressionner en envoyant 36 messages à la minutes ? C'est marrant, tu penses être malin, mais regarde au final, j'ai juste à écrire un pavé pour cancel tout ce que t'as fait ptdr. Tkt, je t'en veux pas de vouloir m'impressionner :);"""Les paroles s'envolent, les écrits restent""… Bah du coup, on dirait bien que mon message transcende cette expression elle-même vu que TES écrits ne sont pas restés mdr! … Parfois, je m'impressionne moi-même x))";Rien à voir avec ce que tu viens de dire mais je n'arrête pas de me demander depuis tout à l'heure pourquoi tu ne fais qu'envoyer des messages courts. Est-ce que c'est parce que je ne t'intéresse pas ? Ou est-ce que c'est proportionnel à... la taille de ton... Non, ce n'est pas ça.... Non... Enfin... J'espère que ce n'est pas ça... Oo;J'ai un peu de mal à cerner tes kinks avec tout ce que tu me racontes. Au final, t'es plus éventrements, possession, jet d'acide, torture ou étranglement ? Parce que de ce que j'en vois, tu sembles surtout très bon à raconter pas mal de débilités de manière systématique, et je sais pas trop comment te classer ahah. Je t'ai blessé ? Tu n'as pas l'habitude de te battre ? :)/n
M_3_windstorm;3;Coup de vent;"""Look at me. I'm the Dompteur now"" Xd";Un changement ? Ça fait beaucoup là non ? ;Je ne suis pas n'importe quel montre moi !;Un coup de stress : vérifie un peu ta main :)/n
M_3_atkCharge;3;ATK chargée;Je n'ai pas de cœur, mais avec toi, j'ai l'impression de faire une crise cardiaque <3;Je préférais l'époque du tour-par-tour, on pouvait prendre le temps de ressentir chaque attaque :);L'homme descend du singe…. Et j'aimerais énormément être à sa place ehe :3;Dès qu'on pourra sortir, j'aimerais bien qu'on se retrouve autour d'une potion pour parler ~/n
M_4_dégâts;4;Dégâts;Si on se voit, tu me prêteras ton casque ?;Tu vaux bien Camelot tout entier :);Je me demande ce que ça fait de te mordre :);T'es du genre à prendre le dessus ?:)/n
M_4_défense;4;Défense;Tes messages sont aussi insipide que toi x);Ok. Parle à ma palme;Je supp ton prochain message.;Arrête de me spam là pff../n
M_4_soinsDrain;4;Soins / Drain;T'essaye de m'impressionner là ?;Tes messages sont de vrais tue-l'amour;T'as la tronche d'un malware;T'es aussi lourd en vrai ?/n
M_4_break;4;Break;Si je t'appelle, il y aura de l'echo ptdr;T'es pas pressé de me dompté xD;T'as du mal à écrire avec tes gants de fer ?;Tu me fais peur à pas répondre ^^'/n
M_4_drain;4;Drain;Ta force est… très inspirante :3;Nomnomnom uwu;J'ai mis du rouge à lèvres… Rien que pour toi :);C'est pas si douloureux tkt/n
M_4_paralysie;4;Paralysie;T'as rien d'autres à dire ptdr;Tu me déçois, change un peu de disque.;Tu radotes. T'es plus vieux que t'en as l'air !;Tu m'as pas dit ça il y a genre… 5 min ?/n
M_4_charme;4;Charme;Moins t'écris, plus t'es sexy <3;J'aime bien les dompteurs silencieux :);Ce ne sont pas tes messages qui me touchent :);Le silence entre tes messages est magique :p/n
M_4_toucherDivin;4;Toucher Divin;"Dompté moi ? Sérieusement ^^ hah on me l'avait pas sortie celle-là depuis looooongtemps :) demande à mes optes si je suis dompté, tu vas voir les réponses que tu vas te prendre XD rien que la semaine passée, j'ai dompté donc chuuuut ferme la dompté de merde car oui, tu m'as tout l'air d'un bon dompté car souvent, vous êtes frustrés de ne pas DOMPTER :)
Oups, on me dit que le taux d'emoji est trop important, désolé.";Sans rigoler. Je pratique le domptage depuis maintenant 6 ans, du combat à l'épée en parallèle depuis 7 ans. J'ai une vitesse de fou, et des réflexes identiques à ma vitesse. J'ai juste à attendre que tu m'écrives, t'esquiver et te donner des bonnes patates dans la tête. Je te lâcherai pas à la moindre erreur, t'es fini. T'auras toujours des amateurs pour penser que c'est impossible. Rien est impossible avec de la volonté et de deux, c'est pas avec ton corps de lâche que tu va faire quoi que ce soit. :);J'aime pas ta façon d'écrire. J'aime pas tes emojis. J'aime pas ton selfie. J'aime pas tes couleurs. J'aime pas ton humour. J'aime pas tes capacités. Et c'est pour ça que je t'envoie ça, pour les faire disparaître de mon écran :p;Tu sais, je te trouve vraiment incroyable, et même si tu me domptes au final, je serai ravi de te servir ahah. Ah oui, et si tu veux te servir de mes capacités, surtout n'hésite pas vraiment :) … Oups, mon chat a marché sur mon clavier ! En fait, je voulais juste faire disparaître tes messages :)/n
M_4_windstorm;4;Coup de vent;Fais attention à ce que tu dis, t'en perds tes mots lol;Je te fous pas de vent, je change ta main :);T'as un poil dans la main ? Je l'ai changé du coup;Tu veux en venir au main, mais elle n'est plus la même/n
M_4_atkCharge;4;ATK chargée;Je n'aurais jamais cru rencontrer le dompteur de ma vie sur cette application !;Quelle puissance dans tes messages ! Tu n'es pas du genre à rigoler à ce que je vois :);Tu penses pouvoir arriver à libérer tout mon potentiel ? Parce qu'il est énorme tu sais :);J'ai des origines de Helheim, je suis habitué au grand froid, mais pas aux grands chauds :)/n
M_5_dégâts;5;Dégâts;Je t'embrasserai bien avec mes langues :);J'aime le style Prince Charmant que tu as :);Tu dois avoir de sacrées balafres Oo;Ce côté bourru me plaît beaucoup <3/n
M_5_défense;5;Défense;Répéte sans pleurer ?;Je décide si je lis tes message ou pas.;Je vois 0 différence avec mon dernier match.;Tu m'endors./n
M_5_soinsDrain;5;Soins / Drain;Je vais finir par te signaler;Tu peux arrêter de parler de toi steup ?;Tu serais pas photoshopé ?;Même une fleur, tu peux pas la dompter mdr/n
M_5_break;5;Break;Bah alors ?;Y'a qqun ? X);Je vais te surnommer Kestufou;Tu préfères qu'on parle sur Snapshark ?/n
M_5_drain;5;Drain;Tu aimes les suçons ? :);Tu es le meilleur humain que j'ai croisé 0:);Je ne te bouffe pas que du regard :);Je ne peux plus me passer de t'embrasser…/n
M_5_paralysie;5;Paralysie;Tu dragues les autres monstres comme ça ?;Pas doué l'aventurier…;Tu vas être sage maintenant :);Je te préfère sans cette phrase x)/n
M_5_charme;5;Charme;T'arrêteras de m'écrire une fois dompté ~;Tu n'as plus les mots pour ce que tu ressens ?;Tu ne sais plus ce que tu racontes <3;Mignon quand tu te tais :) <3/n
M_5_toucherDivin;5;Toucher Divin;Tes messages sont représentatifs de l'impression que je me fais de toi : petits, vicieux et franchement bancals ! Commence déjà par donner du sens à ce que tu racontes et de comprendre ce que tu baves afin d'espérer pouvoir me dompter ! Des ignorants, j'en ai croisé pas mal, mais des obstinés comme toi, ça relève du grand art !;À lire tes messages, tu m'as l'air vachement frustré… À quoi est-ce que ça peut-être dû ? Pas d'amis, c'est ça ? Ou bien, le problème est plus profond… Confie-toi à moi, ça me fera plaisir :) Père cul-de-jatte ? Mère travaillant dans une taverne malfamée ? Animal de compagnie à écailles ? Je veux connaître tout ton passé, même les recoins les plus sombres de ton enfance :p;Une fois, j'ai fait un stage dans un donjon. Bah clairement, c'était pas évident (entre l'entretien des chaînes, la préparation des repas pour les mobs ou bien le balayage des sols des 15 étages), mais j'ai quand même pris plus de plaisir à faire ça pendant 2 mois qu'à lire tes messages depuis même pas une minute ! Alors soit t'es exceptionnellement mauvais, soit tu le fais exprès. Mais il y a anguille sous roche. Enfin, plutôt tentacule sous clavier.;Je pensais qu'en matchant avec toi et tes semblables sur Dungeon Matcher, j'allais avoir plus de chance que sur Rawrchat, mais on dirait bien que non ahah. J'avais entendu dire que la communauté ici était moins toxique que sur l'autre app, mais clairement, vu le venin que tu peux balancer dans tes messages, j'imagine que les utilisateurs doivent être les mêmes mdr. C'est con, parce que tu me plaisais bien au début de la conversation x)/n
M_5_windstorm;5;Coup de vent;Tu n'es pas bien résistant !;Tu écris vraiment avec tes mains ? X);Je te donne un coup de main, en la modifiant :p;"Je te donne de nouvelles capas en ""main"" propre :p/n"
M_5_atkCharge;5;ATK chargée;Tu sais t'y prendre avec les monstres, certes, mais seras-tu t'y prendre avec moi ? ~;Et si je prenais le dessus sur toi ? Juste une fois, pour voir… stp :D;Mmmmh… Roses are red, violets are blue, wherever you are I will stalk you :);Tu as beau me parler, tu n'es pas parfait. La dernière chose qu'il te manque ? Moi./n
